batch_id,source_file,symbol,scope,lang,statement_type,report_type,period_key,period,fiscal_year,year,note_id,note_title,note_type,row_label,code,line_item_canonical,metric,value,source_page
batch_20260915_231912_184af4,000000014485621_EN_FinancialStatements_Q4_2024.pdf,UNKNOWN,separate,en,balance_sheet,balance_sheet,2024Q4,2024Q4,2024,2024,,,,Preferred stocks,340,preferredstocks,so_dau_nam,0.0,3
batch_20260915_231912_184af4,000000014485621_EN_FinancialStatements_Q4_2024.pdf,UNKNOWN,separate,en,balance_sheet,balance_sheet,2024Q4,2024Q4,2024,2024,,,,Deferred income tax payable,341,deferredincometaxpayable,so_cuoi_ky,0.0,3
batch_20260915_231912_184af4,000000014485621_EN_FinancialStatements_Q4_2024.pdf,UNKNOWN,separate,en,balance_sheet,balance_sheet,2024Q4,2024Q4,2024,2024,,,,Deferred income tax payable,341,deferredincometaxpayable,so_dau_nam,0.0,3
batch_20260915_231912_184af4,000000014485621_EN_FinancialStatements_Q4_2024.pdf,UNKNOWN,separate,en,balance_sheet,balance_sheet,2024Q4,2024Q4,2024,2024,,,,Provision for long-term payables,342,provisionforlongtermpayables,so_cuoi_ky,0.0,3
batch_20260915_231912_184af4,000000014485621_EN_FinancialStatements_Q4_2024.pdf,UNKNOWN,separate,en,balance_sheet,balance_sheet,2024Q4,2024Q4,2024,2024,,,,Provision for long-term payables,342,provisionforlongtermpayables,so_dau_nam,0.0,3
batch_20260915_231912_184af4,000000014485621_EN_FinancialStatements_Q4_2024.pdf,UNKNOWN,separate,en,balance_sheet,balance_sheet,2024Q4,2024Q4,2024,2024,,,,Science and technology development fund,343,scienceandtechnologydevelopmentfund,so_cuoi_ky,0.0,3
batch_20260915_231912_184af4,000000014485621_EN_FinancialStatements_Q4_2024.pdf,UNKNOWN,separate,en,balance_sheet,balance_sheet,2024Q4,2024Q4,2024,2024,,,,Science and technology development fund,343,scienceandtechnologydevelopmentfund,so_dau_nam,0.0,3
batch_20260915_231912_184af4,000000014485621_EN_FinancialStatements_Q4_2024.pdf,UNKNOWN,separate,en,balance_sheet,balance_sheet,2024Q4,2024Q4,2024,2024,,,,Investments in equity of other entities,253,investmentsinequityofotherentities,so_cuoi_ky,0.0,3
batch_20260915_231912_184af4,000000014485621_EN_FinancialStatements_Q4_2024.pdf,UNKNOWN,separate,en,balance_sheet,balance_sheet,2024Q4,2024Q4,2024,2024,,,,Investments in equity of other entities,253,investmentsinequityofotherentities,so_dau_nam,0.0,3
batch_20260915_231912_184af4,000000014485621_EN_FinancialStatements_Q4_2024.pdf,UNKNOWN,separate,en,balance_sheet,balance_sheet,2024Q4,2024Q4,2024,2024,,,,Provision for devaluation of long-term financial investments (*),254,provisionfordevaluationoflongtermfinancialinvestments,so_cuoi_ky,-8000000000.0,3
batch_20260915_231912_184af4,000000014485621_EN_FinancialStatements_Q4_2024.pdf,UNKNOWN,separate,en,balance_sheet,balance_sheet,2024Q4,2024Q4,2024,2024,,,,Provision for devaluation of long-term financial investments (*),254,provisionfordevaluationoflongtermfinancialinvestments,so_dau_nam,-8000000000.0,3
batch_20260915_231912_184af4,000000014485621_EN_FinancialStatements_Q4_2024.pdf,UNKNOWN,separate,en,balance_sheet,balance_sheet,2024Q4,2024Q4,2024,2024,,,,Held-to-maturity investments,255,heldtomaturityinvestments,so_cuoi_ky,0.0,3
batch_20260915_231912_184af4,000000014485621_EN_FinancialStatements_Q4_2024.pdf,UNKNOWN,separate,en,balance_sheet,balance_sheet,2024Q4,2024Q4,2024,2024,,,,Held-to-maturity investments,255,heldtomaturityinvestments,so_dau_nam,0.0,3
batch_20260915_231912_184af4,000000014485621_EN_FinancialStatements_Q4_2024.pdf,UNKNOWN,separate,en,balance_sheet,balance_sheet,2024Q4,2024Q4,2024,2024,,,,Other long-term assets,260,dau_tu_tai_chinh_dai_han,so_cuoi_ky,8954368608.0,3
batch_20260915_231912_184af4,000000014485621_EN_FinancialStatements_Q4_2024.pdf,UNKNOWN,separate,en,balance_sheet,balance_sheet,2024Q4,2024Q4,2024,2024,,,,Other long-term assets,260,dau_tu_tai_chinh_dai_han,so_dau_nam,8954368608.0,3
batch_20260915_231912_184af4,000000014485621_EN_FinancialStatements_Q4_2024.pdf,UNKNOWN,separate,en,balance_sheet,balance_sheet,2024Q4,2024Q4,2024,2024,,,,Long-term prepaid expenses,261,longtermprepaidexpenses,so_cuoi_ky,8954368608.0,3
batch_20260915_231912_184af4,000000014485621_EN_FinancialStatements_Q4_2024.pdf,UNKNOWN,separate,en,balance_sheet,balance_sheet,2024Q4,2024Q4,2024,2024,,,,Long-term prepaid expenses,261,longtermprepaidexpenses,so_dau_nam,8954368608.0,3
batch_20260915_231912_184af4,000000014485621_EN_FinancialStatements_Q4_2024.pdf,UNKNOWN,separate,en,balance_sheet,balance_sheet,2024Q4,2024Q4,2024,2024,,,,Deferred income tax assets,262,deferredincometaxassets,so_cuoi_ky,0.0,3
batch_20260915_231912_184af4,000000014485621_EN_FinancialStatements_Q4_2024.pdf,UNKNOWN,separate,en,balance_sheet,balance_sheet,2024Q4,2024Q4,2024,2024,,,,Deferred income tax assets,262,deferredincometaxassets,so_dau_nam,0.0,3
batch_20260915_231912_184af4,000000014485621_EN_FinancialStatements_Q4_2024.pdf,UNKNOWN,separate,en,balance_sheet,balance_sheet,2024Q4,2024Q4,2024,2024,,,,"Long-term equipment, supplies and spare parts for replacement",263,longtermequipmentsuppliesandsparepartsforreplacement,so_cuoi_ky,0.0,3
batch_20260915_231912_184af4,000000014485621_EN_FinancialStatements_Q4_2024.pdf,UNKNOWN,separate,en,balance_sheet,balance_sheet,2024Q4,2024Q4,2024,2024,,,,"Long-term equipment, supplies and spare parts for replacement",263,longtermequipmentsuppliesandsparepartsforreplacement,so_dau_nam,0.0,3
batch_20260915_231912_184af4,000000014485621_EN_FinancialStatements_Q4_2024.pdf,UNKNOWN,separate,en,balance_sheet,balance_sheet,2024Q4,2024Q4,2024,2024,,,,Other long-term assets,268,otherlongtermassets,so_cuoi_ky,0.0,3
batch_20260915_231912_184af4,000000014485621_EN_FinancialStatements_Q4_2024.pdf,UNKNOWN,separate,en,balance_sheet,balance_sheet,2024Q4,2024Q4,2024,2024,,,,Other long-term assets,268,otherlongtermassets,so_dau_nam,0.0,3
batch_20260915_231912_184af4,000000014485621_EN_FinancialStatements_Q4_2024.pdf,UNKNOWN,separate,en,balance_sheet,balance_sheet,2024Q4,2024Q4,2024,2024,,,,TOTAL ASSETS (270=100+200),270,tong_tai_san,so_cuoi_ky,167400624941.0,3
